# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  NGC6503            21.290   116.00     2.00     44.946     24.736    0.3528    26.49    51.35     0.00
  NGC6503            22.030   115.00     3.00     44.244     21.334    0.2736    26.18    50.44     0.00
  NGC6503            22.760   118.00     4.00     43.587     19.380    0.2179    25.87    49.61     0.00
  NGC6503            23.500   115.00    10.00     42.877     17.137    0.1813    25.46    48.79     0.00
  NGC6674             2.500   206.00    75.00    167.776    111.388    0.4992     0.00   122.77   171.60
  NGC6674             7.490   285.00     8.00    175.297    173.512    0.6268     0.00   218.15    99.53
  NGC6674            12.540   291.00     7.00    177.584    196.738    0.7883     0.00   234.07    76.92
  NGC6674            17.450   274.00     5.00    165.888    200.954    0.9688     0.00   221.55    65.21
  NGC6674            22.470   266.00     4.00    154.671    192.750    1.0000    23.41   205.25    57.46
  NGC6674            27.480   255.00     2.00    145.693    179.784    1.0000    35.47   190.15    51.96
  NGC6674            32.500   250.00     2.00    136.211    171.638    1.0000    42.22   174.20    47.78
  NGC6674            37.510   242.00     2.00    127.955    161.852    1.0000    45.59   160.68    44.48
  NGC6674            42.420   237.00     2.00    121.920    154.532    1.0000    49.68   149.48    41.82
  NGC6674            47.440   235.00     2.00    116.096    149.222    1.0000    50.91   139.94    39.55
  NGC6674            52.450   236.00     2.00    109.851    145.732    1.0000    48.66   131.98    37.61
  NGC6674            57.470   242.00     2.00    106.386    144.887    1.0000    50.70   125.25    35.93
  NGC6674            62.480   246.00     2.00    102.827    142.193    1.0000    51.01   119.50    34.46
  NGC6674            67.400   242.00     4.00     98.373    134.620    1.0000    48.35   114.62    33.18
  NGC6674            72.410   242.00     5.00     93.798    128.935    1.0000    44.77   110.24    32.01
  NGC6789             0.100    13.90     3.84      6.072      7.192    0.4592     2.80     7.62     0.00
  NGC6789             0.300    29.90     3.92     14.441     16.055    0.4905     7.72    17.26     0.00
  NGC6789             0.510    46.70     4.10     18.200     26.869    0.5591    11.07    20.43     0.00
  NGC6789             0.710    60.40     9.40     19.215     39.083    0.7171    11.87    21.37     0.00
  NGC6946             0.190   153.00     8.00    195.848     78.511    0.5141     0.96    24.40   233.17
  NGC6946             0.560   130.00     9.00    147.798     76.064    0.6636     2.86    62.52   168.53
  NGC6946             0.940   128.00     3.00    131.860     79.847    0.7642     4.50    91.94   137.01
  NGC6946             1.220   134.00     3.00    127.150     87.207    0.8433     5.34   109.48   120.39
  NGC6946             1.590   129.00     4.00    126.481     87.679    0.9510     6.46   127.82   105.47
  NGC6946             1.960   131.00     7.00    126.232     88.845    1.0000     6.51   138.39    94.99
  NGC6946             2.340   138.00     8.00    129.459     92.520    1.0000     6.51   151.17    86.94
  NGC6946             2.710   139.00     5.00    135.941     92.175    1.0000     6.44   166.55    80.79
  NGC6946             2.990   143.00     3.00    136.808     94.063    1.0000     6.38   170.50    76.91
  NGC6946             3.370   146.00     2.00    139.310     94.984    1.0000     7.55   177.07    72.44
  NGC6946             3.740   154.00     2.00    140.533     99.084    1.0000    10.54   180.71    68.77
  NGC6946             4.120   161.00     1.00    141.853    102.331    1.0000    12.86   184.13    65.52
  NGC6946             4.400   167.00     2.00    143.708    105.129    1.0000    13.54   187.91    63.40
  NGC6946             4.770   173.00     2.00    146.480    107.437    1.0000    14.41   193.15    60.89
  NGC6946             5.150   176.00     4.00    149.340    107.700    1.0000    17.51   197.95    58.60
  NGC6946             5.520   178.00     5.00    153.542    107.310    1.0000    20.80   204.45    56.60
  NGC6946             5.890   180.00     3.00    153.753    106.847    1.0000    23.41   204.89    54.80
  NGC6946             6.170   179.00     4.00    151.507    104.987    1.0000    25.15   201.57    53.54
  NGC6946             6.550   180.00     5.00    151.087    103.834    1.0000    27.66   200.86    51.96
  NGC6946             6.920   181.00     4.00    151.750    102.673    1.0000    31.15   201.34    50.55
  NGC6946             7.300   179.00     4.00    150.075     99.761    1.0000    34.05   198.33    49.22
  NGC6946             7.580   179.00     2.00    147.842     98.451    1.0000    34.92   194.96    48.30
  NGC6946             7.950   179.00     1.00    144.501     96.696    1.0000    35.89   189.92    47.17
  NGC6946             8.330   178.00     1.00    141.351     94.343    1.0000    37.34   184.93    46.08
  NGC6946             8.700   177.00     2.00    140.133     92.022    1.0000    38.88   182.77    45.09
  NGC6946             9.080   176.00     2.00    138.976     87.837    1.0000    39.08   181.24    44.13
  NGC6946             9.360   173.00     3.00    137.746     80.635    0.9331    38.40   179.87    43.47
  NGC6946             9.730   172.00     2.00    135.621     75.408    0.8830    37.72   177.19    42.63
  NGC6946            10.100   172.00     2.00    133.736     71.693    0.8589    37.43   174.69    41.85
  NGC6946            10.480   170.00     2.00    131.723     68.398    0.8633    37.14   171.99    41.08
  NGC6946            10.760   171.00     2.00    130.269     67.326    0.8792    36.66   170.15    40.54
  NGC6946            11.130   174.00     2.00    128.180     68.165    0.9308    35.89   167.51    39.86
  NGC6946            11.510   174.00     2.00    126.419     68.468    1.0000    36.08   164.95    39.20
  NGC6946            11.880   175.00     2.00    124.788     67.624    1.0000    36.76   162.35    38.58
  NGC6946            12.260   174.00     2.00    123.328     66.177    1.0000    37.82   159.81    37.98
  NGC6946            12.540   173.00     6.00    122.367     65.144    1.0000    38.79   158.00    37.55
  NGC6946            12.910   173.00     6.00    121.156     64.420    1.0000    40.14   155.62    37.01
  NGC6946            13.290   173.00     8.00    120.137     63.798    1.0000    42.08   153.17    36.48
  NGC6946            13.660   175.00     9.00    119.277     64.047    1.0000    44.01   150.89    35.98
  NGC6946            14.030   174.00     9.00    118.329     63.296    1.0000    45.46   148.68    35.50
  NGC6946            14.310   171.00     9.00    117.659     62.142    1.0000    46.53   147.06    35.16
  NGC6946            14.690   167.00     8.00    115.961     60.454    1.0000    45.94   144.87    34.70
  NGC6946            15.060   165.00     7.00    114.045     59.529    1.0000    44.59   142.80    34.27
  NGC6946            15.440   163.00     8.00    112.476     57.851    1.0000    44.01   140.80    33.84
  NGC6946            15.720   162.00     8.00    111.581     56.424    0.9621    44.20   139.35    33.54
  NGC6946            16.090   161.00     9.00    106.596     54.236    0.8421    33.85   137.46    33.15
  NGC6946            16.470   159.00    10.00    105.308     51.805    0.7215    33.85   135.59    32.77
  NGC6946            16.840   158.00    10.00    104.130     49.831    0.6035    33.85   133.88    32.41
  NGC6946            17.210   157.00    10.00    102.974     47.971    0.4957    33.85   132.20    32.06
  NGC6946            17.500   157.00    10.00    102.075     46.315    0.3966    33.85   130.89    31.79
  NGC6946            17.870   157.00     9.00    100.985     44.316    0.3212    33.85   129.30    31.46
  NGC6946            18.240   160.00    11.00     99.955     43.324    0.2626    33.85   127.80    31.14
  NGC6946            18.620   159.00    12.00     98.927     41.372    0.2192    33.85   126.30    30.82
  NGC6946            18.900   160.00    14.00     98.175     40.054    0.1862    33.85   125.20    30.59
  NGC6946            19.270   158.00    16.00     97.296     36.840    0.1643    33.85   123.92    30.30
  NGC6946            19.650   155.00    18.00     96.486     33.642    0.1492    33.85   122.75    30.00
  NGC6946            20.020   157.00    19.00     95.364     31.211    0.1389    33.85   121.08    29.72
  NGC6946            20.400   154.00    21.00     94.301     28.119    0.1322    33.85   119.50    29.44
  NGC7331             2.670   221.00    20.00    251.979    147.842    1.0000   -12.02   317.90   136.84
  NGC7331             3.210   237.00    13.00    264.435    156.939    1.0000   -12.52   344.05   124.77
  NGC7331             3.740   249.00     8.00    275.665    162.406    1.0000   -12.91   365.51   115.63
  NGC7331             4.270   250.00     5.00    275.820    160.583    1.0000   -12.71   368.89   108.22
  NGC7331             4.810   253.00     5.00    273.444    160.034    1.0000   -11.52   367.77   101.96
  NGC7331             5.350   257.00     5.00    274.513    160.070    1.0000    -9.56   371.23    96.68
  NGC7331             5.880   257.00     5.00    269.341    157.647    1.0000    -6.26   365.05    92.22
  NGC7331             6.410   257.00     5.00    265.180    155.273    1.0000     4.80   360.10    88.33
  NGC7331             7.480   257.00     5.00    254.023    150.571    1.0000    12.22   345.54    81.76
  NGC7331             8.550   255.00     5.00    238.605    144.844    1.0000    16.59   324.23    76.48
  NGC7331             9.620   248.00     6.00    229.333    136.617    1.0000    22.45   311.29    72.10
  NGC7331            10.660   247.00     6.00    221.491    132.091    1.0000    28.21   299.93    68.49
  NGC7331            11.740   246.00     6.00    213.958    127.459    1.0000    33.77   288.64    65.26
  NGC7331            12.830   244.00     6.00    208.716    122.326    1.0000    38.94   280.42    62.43
  NGC7331            13.910   242.00     4.00    203.518    117.302    1.0000    43.31   272.13    59.96
  NGC7331            15.000   238.00     3.00    197.969    111.391    1.0000    45.59   263.74    57.74
  NGC7331            16.080   236.00     3.00    193.139    106.043    1.0000    47.38   256.44    55.77
  NGC7331            17.070   233.00     3.00    189.689     97.588    0.9559    49.66   250.86    54.12
  NGC7331            18.150   234.00     3.00    187.265     89.569    0.8257    53.93   245.89    52.49
  NGC7331            19.240   236.00     3.00    185.558     82.203    0.6941    57.71   242.00    50.98
  NGC7331            20.320   237.00     3.00    183.208     75.146    0.5675    60.09   237.62    49.61
  NGC7331            21.410   238.00     3.00    179.294     69.030    0.4548    61.78   231.06    48.33
  NGC7331            22.490   240.00     3.00    175.522     64.202    0.3608    63.67   224.49    47.15
  NGC7331            23.480   238.00     3.00    172.517     59.207    0.2858    64.56   219.56    46.15
  NGC7331            24.570   237.00     3.00    168.412     55.527    0.2323    62.97   214.35    45.11
  NGC7331            25.650   236.00     3.00    164.729     52.564    0.1947    61.48   209.72    44.15
  NGC7331            26.740   238.00     3.00    161.430     50.772    0.1691    60.79   205.21    43.24
  NGC7331            27.820   239.00     3.00    158.042     49.139    0.1521    59.40   200.95    42.40
  NGC7331            28.910   239.00     3.00    154.500     47.549    0.1409    57.31   196.85    41.59
  NGC7331            29.890   241.00     4.00    151.329     46.503    0.1334    55.13   193.34    40.90
  NGC7331            30.980   236.00     4.00    148.006     44.229    0.1287    52.84   189.65    40.18
  NGC7331            32.060   236.00     5.00    145.204     42.978    0.1258    51.55   186.20    39.49
  NGC7331            33.150   239.00     5.00    142.889     42.258    0.1240    51.35   182.89    38.84
  NGC7331            34.230   237.00     5.00    140.669     40.660    0.1229    50.86   179.88    38.22
  NGC7331            35.320   241.00     7.00    138.315     40.036    0.1224    49.27   177.27    37.63
  NGC7331            36.310   238.00     9.00    135.517     38.154    0.1221    47.97   173.78    37.11
  NGC7793             0.110     9.10     8.50     19.265      3.255    0.2165     0.65    27.23     0.00
  NGC7793             0.140    17.60     7.40     21.160      6.364    0.2212     0.65    29.91     0.00
  NGC7793             0.170    19.30     7.40     22.863      7.130    0.2307     0.65    32.32     0.00
  NGC7793             0.210    24.80     6.40     25.196      9.448    0.2451     0.65    35.62     0.00
  NGC7793             0.240    30.00     7.20     26.866     11.875    0.2644     0.74    37.98     0.00
  NGC7793             0.280    35.00     7.30     28.772     14.489    0.2887     0.90    40.67     0.00
  NGC7793             0.320    38.30     7.60     30.565     16.651    0.3180     1.05    43.20     0.00
  NGC7793             0.350    42.70     8.80     31.871     19.534    0.3517     1.21    45.04     0.00
  NGC7793             0.390    47.00     5.30     33.495     22.660    0.3901     1.36    47.33     0.00
  NGC7793             0.420    49.80     5.60     34.604     25.278    0.4320     1.52    48.89     0.00
  NGC7793             0.460    52.20     6.20     36.101     27.879    0.4778     1.67    51.00     0.00
  NGC7793             0.490    53.40     6.30     37.239     29.922    0.5256     1.83    52.60     0.00
  NGC7793             0.530    54.60     5.90     38.801     32.051    0.5767     1.99    54.80     0.00
  NGC7793             0.560    55.50     6.90     39.817     34.016    0.6287     2.12    56.23     0.00
  NGC7793             0.600    55.90     7.50     40.769     35.720    0.6837     2.23    57.57     0.00
  NGC7793             0.630    58.30     7.40     41.454     38.721    0.7390     2.35    58.53     0.00
  NGC7793             0.660    59.30     6.30     42.209     40.862    0.7961     2.47    59.59     0.00
  NGC7793             0.700    59.50     6.70     43.268     42.511    0.8571     2.59    61.08     0.00
  NGC7793             0.870    59.10     5.10     46.841     44.298    0.9503     3.18    66.09     0.00
  NGC7793             1.050    62.60     5.50     49.409     47.922    1.0000     3.96    69.65     0.00
  NGC7793             1.220    65.60     4.80     51.447     50.002    1.0000     5.50    72.34     0.00
  NGC7793             1.400    70.70     4.60     53.815     53.638    1.0000     7.05    75.45     0.00
  NGC7793             1.570    73.90     4.00     56.475     55.808    1.0000     8.58    78.94     0.00
  NGC7793             1.750    78.50     4.20     59.349     58.982    1.0000    10.09    82.71     0.00
  NGC7793             1.920    82.40     4.60     62.975     61.598    1.0000    11.55    87.55     0.00
  NGC7793             2.100    87.10     4.90     66.615     64.738    1.0000    13.06    92.38     0.00
  NGC7793             2.270    89.60     5.40     69.445     66.216    1.0000    14.78    95.96     0.00
  NGC7793             2.450    94.90     5.70     70.145     69.680    1.0000    16.40    96.45     0.00
  NGC7793             2.620    98.10     5.00     70.248     71.556    1.0000    18.13    95.98     0.00
  NGC7793             2.790    99.30     5.70     71.006     71.935    1.0000    20.29    96.23     0.00
  NGC7793             2.970    98.60     7.20     71.894     70.908    1.0000    22.34    96.64     0.00
  NGC7793             3.160   101.00     8.70     72.468     72.066    1.0000    24.50    96.45     0.00
  NGC7793             3.330   103.00     9.40     72.447     72.952    1.0000    26.22    95.51     0.00
  NGC7793             3.510   107.00     9.10     72.353     75.154    1.0000    27.95    94.38     0.00
  NGC7793             3.680   114.00     7.40     72.342     79.360    1.0000    29.68    93.30     0.00
  NGC7793             3.850   112.00     8.10     71.726     77.226    1.0000    29.78    92.28     0.00
  NGC7793             4.030   114.00     7.60     71.093     77.791    1.0000    30.00    91.15     0.00
  NGC7793             4.200   116.00     7.20     70.288     78.329    1.0000    30.11    89.82     0.00
  NGC7793             4.380   114.00     7.80     69.479     76.095    1.0000    30.65    88.18     0.00
  NGC7793             4.730   114.00    11.40     68.337     74.339    1.0000    31.83    85.52     0.00
  NGC7793             5.250   109.00     9.90     67.135     68.517    1.0000    33.35    82.40     0.00
  NGC7793             5.780   107.00    12.60     64.867     64.635    1.0000    34.64    77.56     0.00
  NGC7793             6.300   105.00    12.50     62.914     60.755    1.0000    34.75    74.17     0.00
  NGC7793             6.820   101.00     5.20     61.180     55.764    1.0000    33.99    71.94     0.00
  NGC7793             7.350    94.50     4.60     58.788     49.635    1.0000    32.70    69.09     0.00
  NGC7793             7.870    90.80     6.10     56.553     45.329    1.0000    30.97    66.92     0.00
  NGC7814             0.630   265.00    15.00    290.191    135.818    0.4719    -0.69    39.69   345.22
  NGC7814             1.720   250.00    15.00    256.715    151.436    0.6454    -2.33    81.63   298.99
  NGC7814             2.790   233.00     7.29    226.012    154.272    0.7879    -3.94   104.82   255.24
  NGC7814             3.910   230.00     6.45    206.352    162.423    0.9311    -5.06   118.95   225.30
  NGC7814             5.030   228.00     5.37    191.077    162.919    1.0000    -3.48   122.96   203.41
  NGC7814             6.140   228.00     5.16    177.463    158.895    1.0000     1.40   120.03   186.27
  NGC7814             7.260   227.00     5.94    165.775    154.233    1.0000    -1.38   115.88   172.25
  NGC7814             8.370   226.00     3.00    156.790    149.668    1.0000     5.96   113.50   160.83
  NGC7814             9.500   223.00     3.92    148.858    143.790    1.0000    11.22   109.97   151.12
  NGC7814            10.650   219.00     2.90    141.944    137.355    1.0000    16.09   105.99   142.79
  NGC7814            11.740   216.00     2.55    136.028    131.883    1.0000    18.57   102.02   136.04
  NGC7814            12.820   214.00     2.55    130.440    127.107    1.0000    19.07    97.84   130.19
  NGC7814            14.010   214.00     3.07    124.591    123.075    1.0000    17.78    93.27   124.54
  NGC7814            15.090   214.00     3.61    120.362    119.245    1.0000    20.16    89.43   120.01
  NGC7814            16.180   214.00     4.46    116.762    115.179    1.0000    23.24    85.93   115.89
  NGC7814            17.360   214.00     5.07    112.752    110.504    1.0000    23.44    82.48   111.88
  NGC7814            18.440   214.00     4.78    109.392    105.924    1.0000    23.34    79.67   108.55
  NGC7814            19.530   214.00     4.87    106.272    100.947    1.0000    22.64    77.35   105.49
  PGC51017            0.330    20.50     4.17      9.150      7.582    0.2958     5.04    10.80     0.00
  PGC51017            0.990    19.90     1.82     17.710      8.786    0.3826    10.80    19.85     0.00
  PGC51017            1.650    19.30     1.69     18.812      9.554    0.4663    12.30    20.13     0.00
  PGC51017            2.310    18.80     1.90     18.101     10.291    0.5675    12.70    18.24     0.00
  PGC51017            2.970    18.20     1.74     17.558     10.996    0.7054    13.30    16.21     0.00
  PGC51017            3.630    18.30     2.22     17.515     12.350    0.9336    14.20    14.50     0.00
  UGC00128            1.250    34.10    18.80     20.859     22.423    0.7230     1.71    29.40     0.00
  UGC00128            3.750    78.40     6.54     35.016     53.260    0.7783     4.27    49.15     0.00
  UGC00128            6.250    96.90     2.44     36.447     68.795    0.8638     7.23    50.52     0.00
  UGC00128            8.760   108.00     1.26     38.190     80.192    0.9671    11.57    51.47     0.00
  UGC00128           11.250   113.00     1.00     40.210     84.137    1.0000    13.37    53.63     0.00
  UGC00128           13.740   114.00     0.86     43.776     83.703    1.0000    16.66    57.25     0.00
  UGC00128           16.220   121.00     0.68     46.941     87.601    1.0000    23.15    57.75     0.00
  UGC00128           18.710   126.00     0.55     49.448     89.846    1.0000    30.33    55.23     0.00
  UGC00128           21.300   128.00     0.63     51.430     89.768    1.0000    35.52    52.60     0.00
  UGC00128           23.790   129.00     0.61     53.265     88.989    1.0000    39.51    50.52     0.00
  UGC00128           26.280   129.00     0.65     53.889     87.491    1.0000    42.00    47.75     0.00
  UGC00128           28.770   131.00     0.73     55.394     87.287    1.0000    44.90    45.88     0.00
  UGC00128           31.250   131.00     0.83     54.758     85.679    1.0000    45.10    43.92     0.00
  UGC00128           33.740   131.00     0.75     52.299     84.024    1.0000    43.00    42.10     0.00
  UGC00128           36.230   127.00     1.24     51.055     79.856    1.0000    42.30    40.43     0.00
  UGC00128           38.820   126.00     1.40     50.514     77.590    1.0000    42.40    38.83     0.00
  UGC00128           41.310   130.00     1.62     49.390     78.334    1.0000    41.70    37.43     0.00
  UGC00128           43.800   132.00     2.01     47.659     77.633    1.0000    40.21    36.18     0.00
  UGC00128           46.280   134.00     2.10     46.037     76.723    1.0000    38.81    35.02     0.00
  UGC00128           48.770   129.00     2.66     44.206     71.775    1.0000    37.11    33.97     0.00
  UGC00128           51.260   132.00     4.67     42.682     71.218    1.0000    35.72    33.04     0.00
  UGC00128           53.750   125.00     5.95     41.481     65.266    1.0000    34.72    32.10     0.00
  UGC00191            0.620    29.90     1.42     15.521     15.589    0.5431     1.81    21.80     0.00
  UGC00191            0.870    34.40     2.31     20.262     18.020    0.5487     2.95    28.35     0.00
  UGC00191            1.120    46.30     2.05     22.939     24.301    0.5515     4.13    31.91     0.00
  UGC00191            1.370    49.80     1.87     24.821     26.104    0.5508     5.34    34.28     0.00
  UGC00191            1.620    57.60     2.76     26.017     30.006    0.5448     6.60    35.59     0.00
  UGC00191            2.300    71.30     7.50     29.821     37.797    0.5671    10.14    39.66     0.00
  UGC00191            4.970    76.65     1.09     37.919     47.682    0.8308    23.98    41.54     0.00
  UGC00191            7.450    81.00     0.63     42.189     51.578    1.0000    33.08    37.03     0.00
  UGC00191            9.980    83.85     1.04     40.585     47.619    1.0000    33.72    31.94     0.00
  UGC00634            4.510    69.75     4.15     36.411     32.961    0.3996    19.36    43.61     0.00
  UGC00634            9.010    97.70     1.63     44.029     50.487    0.4654    33.73    40.02     0.00
  UGC00634           13.510   108.00     0.99     45.837     62.545    0.5765    39.28    33.41     0.00
  UGC00634           18.010   107.50     2.32     41.417     71.313    0.7719    36.27    28.28     0.00
  UGC00731            0.910    29.60     2.38      5.587     20.788    0.8864     0.80     7.82     0.00
  UGC00731            1.810    44.60     2.40      9.816     32.753    0.9958     5.58    11.42     0.00
  UGC00731            2.730    50.40     2.86     11.676     36.437    1.0000     7.79    12.30     0.00
  UGC00731            3.640    56.80     3.43     17.009     40.312    1.0000    14.00    13.66     0.00
  UGC00731            4.550    60.70     2.98     19.089     42.220    1.0000    16.12    14.46     0.00
  UGC00731            5.450    64.70     2.46     21.076     44.032    1.0000    18.25    14.91     0.00
  UGC00731            6.360    68.00     2.38     25.521     45.152    1.0000    23.38    14.47     0.00
  UGC00731            7.280    71.50     2.52     31.766     46.144    1.0000    30.00    14.77     0.00
  UGC00731            8.190    73.40     2.68     35.201     45.860    1.0000    33.62    14.75     0.00
  UGC00731            9.090    74.00     2.83     36.193     44.589    1.0000    34.88    13.66     0.00
  UGC00731           10.000    73.80     3.22     37.185     42.677    1.0000    36.00    13.17     0.00
  UGC00731           10.910    73.90     3.42     36.883     40.786    1.0000    35.75    12.83     0.00
  UGC00891            1.480    24.35     2.92     16.320     11.906    0.4416     9.70    18.56     0.00
  UGC00891            2.970    43.55     1.40     23.063     22.274    0.4795    18.44    19.59     0.00
  UGC00891            4.450    54.15     0.67     26.573     29.627    0.5463    22.96    18.92     0.00
  UGC00891            5.940    60.15     0.48     25.334     35.879    0.6554    21.83    18.18     0.00
  UGC00891            7.390    63.75     0.95     24.051     42.358    0.8468    21.02    16.53     0.00
  UGC01230            0.780    19.80    10.70     15.185     11.938    0.6129     2.90    21.08     0.00
  UGC01230            2.350    55.40    10.70     29.955     33.828    0.6294     8.06    40.80     0.00
  UGC01230            3.910    88.50    10.70     34.817     55.382    0.6634    12.62    45.89     0.00
  UGC01230            5.480   105.00    10.70     39.799     67.845    0.7130    16.73    51.07     0.00
  UGC01230            7.030   106.00    10.70     42.736     70.341    0.7609    20.63    52.93     0.00
  UGC01230            8.600   103.00    10.70     44.647     69.370    0.7945    24.32    52.95     0.00
  UGC01230           13.270   109.00    15.80     48.932     79.948    1.0000    34.07    49.67     0.00
  UGC01230           14.850   113.00    14.70     50.370     81.712    1.0000    36.74    48.73     0.00
  UGC01230           25.800   105.00    10.40     53.872     68.003    1.0000    46.59    38.25     0.00
  UGC01230           32.010   103.00    10.00     49.804     62.063    1.0000    43.71    33.76     0.00
  UGC01230           36.540   103.00    10.00     45.340     58.276    1.0000    39.61    31.20     0.00
  UGC01281            0.080     1.41     4.00      0.000      0.725    0.5154    -5.85     1.50     0.00
  UGC01281            0.230     4.46     4.00      0.000      2.340    0.5364    -5.85     3.55     0.00
  UGC01281            0.380     7.71     4.00      3.625      4.201    0.5784    -0.98     5.31     0.00
  UGC01281            0.540    11.00     4.00      5.372      6.310    0.6415    -2.22     8.22     0.00
  UGC01281            0.690    14.20     4.00      6.339      8.652    0.7245    -3.47    10.22     0.00
  UGC01281            0.840    17.20     5.78      7.295     11.181    0.8264    -4.43    12.07     0.00
  UGC01281            1.000    20.20     4.74      8.380     14.030    0.9469    -5.15    13.91     0.00
  UGC01281            1.150    23.20     4.00      9.193     16.517    1.0000    -5.85    15.41     0.00
  UGC01281            1.300    26.40     7.13     11.705     18.737    1.0000    -1.76    16.74     0.00
  UGC01281            1.460    29.30     4.38     12.842     20.716    1.0000     2.33    17.86     0.00
  UGC01281            1.610    31.60     4.94     14.352     22.254    1.0000     5.46    18.77     0.00
  UGC01281            1.760    34.60     4.00     15.549     24.260    1.0000     7.63    19.16     0.00
  UGC01281            1.920    37.40     7.09     16.922     26.085    1.0000     9.79    19.52     0.00
  UGC01281            2.070    39.90     4.00     17.890     27.676    1.0000    11.26    19.66     0.00
  UGC01281            2.220    42.20     4.37     18.928     29.096    1.0000    12.73    19.81     0.00
  UGC01281            2.380    44.40     4.58     19.769     30.400    1.0000    13.90    19.88     0.00
  UGC01281            2.530    46.70     5.91     20.394     31.747    1.0000    14.68    20.02     0.00
  UGC01281            2.680    48.50     7.72     20.946     32.716    1.0000    15.47    19.97     0.00
  UGC01281            2.760    49.30     9.73     21.137     33.111    1.0000    15.76    19.92     0.00
  UGC01281            3.070    53.00     4.00     21.814     34.937    1.0000    16.84    19.61     0.00
  UGC01281            3.460    54.10     4.00     22.820     34.722    1.0000    18.30    19.28     0.00
  UGC01281            3.830    55.00     4.00     22.843     34.329    1.0000    18.50    18.95     0.00
  UGC01281            4.230    55.70     4.00     22.438     33.619    1.0000    18.21    18.54     0.00
  UGC01281            4.620    56.40     4.00     23.481     32.806    1.0000    19.58    18.33     0.00
  UGC01281            4.990    56.90     4.00     24.182     31.796    1.0000    20.46    18.23     0.00
  UGC02023            0.760    15.10     8.69     12.423      7.927    0.5052     0.58    17.55     0.00
  UGC02023            1.510    28.00     8.69     23.704     15.090    0.5318    10.02    30.38     0.00
  UGC02023            2.270    37.60     8.69     28.434     21.117    0.5781    14.00    35.00     0.00
  UGC02023            3.030    47.90     8.69     29.995     28.551    0.6574    14.92    36.80     0.00
  UGC02023            3.780    58.80     8.69     32.364     38.537    0.8250    19.48    36.55     0.00
  UGC02259            1.020    56.10     3.40     17.846     31.694    0.5539     4.05    24.58     0.00
  UGC02259            2.040    71.10     3.00     26.718     43.093    0.6388     7.98    36.06     0.00
  UGC02259            3.050    80.70     1.50     31.991     52.468    0.7464    14.47    40.35     0.00
  UGC02259            4.070    82.80     1.50     35.419     57.901    0.8916    19.07    42.21     0.00
  UGC02259            5.090    83.70     1.50     35.393     60.479    1.0000    21.90    39.32     0.00
  UGC02259            6.110    86.00     1.50     36.394     60.287    1.0000    24.60    37.93     0.00
  UGC02259            7.130    88.30     2.30     36.920     59.783    1.0000    26.68    36.09     0.00
  UGC02259            8.140    90.00     3.00     34.981     58.501    1.0000    25.72    33.53     0.00
  UGC02455            0.500    16.90     3.64     29.173     11.348    0.8256     2.10    41.15     0.00
  UGC02455            1.000    23.90     3.64     46.076     16.516    0.8873     6.14    64.58     0.00
  UGC02455            1.510    28.20     3.64     56.238     20.042    0.9566    11.02    77.99     0.00
  UGC02455            2.010    33.00     3.64     56.107     23.704    1.0000    15.45    76.28     0.00
  UGC02455            2.520    39.10     3.64     56.569     27.673    1.0000    19.59    75.05     0.00
  UGC02455            3.020    43.80     3.64     57.144     30.450    1.0000    23.74    73.51     0.00
  UGC02455            3.520    53.10     3.64     56.179     36.028    1.0000    27.22    69.50     0.00
  UGC02455            4.030    61.00     3.64     54.904     39.889    1.0000    29.76    65.25     0.00
  UGC02487            9.930   377.00    10.30    250.663    220.349    0.6376   -13.26   255.96   207.88
  UGC02487           10.050   377.00    19.70    250.856    219.505    0.6330   -13.37   257.66   206.72
  UGC02487           10.350   378.00    10.80    251.557    218.610    0.6251   -13.47   261.62   204.38
  UGC02487           15.070   367.00    10.70    240.553    226.515    0.7258   -11.85   272.35   172.87
  UGC02487           20.090   364.00     6.67    229.516    236.708    0.8316    13.97   269.96   151.39
  UGC02487           25.120   375.00     6.19    218.777    254.829    0.9498    27.34   262.34   134.72
  UGC02487           30.140   383.00     3.82    209.542    259.375    1.0000    34.12   253.37   123.32
  UGC02487           35.170   378.00     2.21    195.228    247.747    1.0000    36.15   235.34   114.11
  UGC02487           40.190   364.00     4.00    182.477    230.734    1.0000    36.15   219.18   106.71
  UGC02487           45.210   349.00     3.00    172.266    213.982    1.0000    35.84   206.41   100.63
  UGC02487           50.240   338.00     3.08    163.259    200.430    1.0000    37.87   194.11    95.47
  UGC02487           55.260   332.00     2.19    155.947    190.244    1.0000    41.62   183.23    91.03
  UGC02487           60.280   330.00     1.61    150.371    182.356    1.0000    44.55   174.98    87.16
  UGC02487           65.310   329.00     2.20    144.441    174.757    1.0000    46.17   166.27    83.74
  UGC02487           70.330   330.00     3.53    139.232    167.781    1.0000    46.48   159.17    80.69
  UGC02487           75.350   332.00    13.40    134.034    160.603    1.0000    44.86   152.96    77.96
