# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  DDO168              0.410    15.00     4.10     11.944     10.824    0.9029    10.41     8.28     0.00
  DDO168              0.820    23.40     1.30     20.175     17.299    0.9614    18.08    12.66     0.00
  DDO168              1.240    29.20     1.50     22.754     21.796    1.0000    20.09    15.11     0.00
  DDO168              1.640    36.20     1.10     23.149     26.692    1.0000    20.20    15.99     0.00
  DDO168              2.060    44.00     1.10     25.033     31.890    1.0000    22.00    16.89     0.00
  DDO168              2.470    52.10     1.20     25.634     36.886    1.0000    22.63    17.03     0.00
  DDO168              2.890    52.90     1.70     25.904     36.350    1.0000    22.95    16.99     0.00
  DDO168              3.300    54.80     2.20     25.785     36.415    1.0000    22.74    17.19     0.00
  DDO168              3.710    55.00     2.50     25.775     35.140    1.0000    22.74    17.16     0.00
  DDO168              4.120    52.00     2.70     25.517     31.825    1.0000    22.74    16.37     0.00
  DDO170              1.870    27.70     3.00     15.517     16.878    0.6400     8.68    18.19     0.00
  DDO170              3.360    42.40     1.50     20.546     26.952    0.7019    15.07    19.75     0.00
  DDO170              4.860    52.50     1.00     24.955     35.323    0.8012    20.59    19.94     0.00
  DDO170              6.350    55.60     1.00     28.096     39.929    0.9450    24.61    19.17     0.00
  DDO170              7.850    58.60     1.10     30.013     42.204    1.0000    26.94    18.71     0.00
  DDO170              9.340    59.00     1.20     30.221     41.247    1.0000    27.60    17.41     0.00
  DDO170             10.830    60.00     1.30     29.076     40.582    1.0000    26.77    16.05     0.00
  DDO170             12.330    62.20     1.00     27.068     40.446    1.0000    24.90    15.01     0.00
  ESO079-G014         0.410    33.20    11.60     20.590     21.447    0.7739     2.21    28.95     0.00
  ESO079-G014         0.980    50.40    11.80     33.946     33.159    0.8069     4.41    47.60     0.00
  ESO079-G014         1.780    53.90     9.75     44.420     36.349    0.8536     6.75    62.09     0.00
  ESO079-G014         2.690    67.60     5.10     54.053     46.798    0.9066     8.55    75.48     0.00
  ESO079-G014         3.360    81.70     5.06     58.852     57.942    0.9587     9.18    82.21     0.00
  ESO079-G014         4.390   102.00     5.35     62.125     73.280    1.0000     9.29    86.87     0.00
  ESO079-G014         5.650   116.00     6.44     65.905     82.323    1.0000     9.50    92.23     0.00
  ESO079-G014         6.340   132.00     9.10     68.780     92.944    1.0000    10.22    96.19     0.00
  ESO079-G014         6.890   137.00     5.25     72.070     95.782    1.0000    11.87   100.53     0.00
  ESO079-G014         8.340   154.00     4.20     82.300    105.408    1.0000    17.23   113.81     0.00
  ESO079-G014        10.040   163.00     3.28     94.189    108.339    1.0000    24.23   128.72     0.00
  ESO079-G014        11.650   170.00     2.41     99.220    109.440    1.0000    30.75   133.41     0.00
  ESO079-G014        13.360   175.00     2.18    100.765    108.306    1.0000    36.20   132.99     0.00
  ESO079-G014        15.060   177.00     2.23     99.052    104.648    1.0000    39.42   128.51     0.00
  ESO079-G014        16.670   178.00     2.03     96.726    100.036    1.0000    40.49   124.23     0.00
  ESO116-G012         0.250    20.90     3.40     12.252     14.502    0.8569    -0.22    17.33     0.00
  ESO116-G012         0.830    40.00     3.29     24.655     28.379    0.9052    -1.80    34.96     0.00
  ESO116-G012         1.380    51.50     2.96     36.270     37.391    0.9599    -1.55    51.34     0.00
  ESO116-G012         1.850    67.90     3.45     43.936     49.940    1.0000     5.01    61.73     0.00
  ESO116-G012         2.680    80.20     2.93     44.573     57.995    1.0000    12.54    60.49     0.00
  ESO116-G012         3.190    83.30     3.08     47.681     59.579    1.0000    16.68    63.17     0.00
  ESO116-G012         3.680    91.40     2.83     50.292     64.640    1.0000    20.19    65.14     0.00
  ESO116-G012         4.130   102.00     5.40     51.932     71.258    1.0000    22.31    66.32     0.00
  ESO116-G012         5.230   105.00     4.21     52.329     70.883    1.0000    25.63    64.52     0.00
  ESO116-G012         6.050   109.00     2.10     50.494     71.541    1.0000    27.28    60.09     0.00
  ESO116-G012         6.810   108.00     2.10     48.686     68.905    1.0000    28.58    55.74     0.00
  ESO116-G012         7.560   109.00     2.10     48.780     67.498    1.0000    30.70    53.61     0.00
  ESO116-G012         8.320   110.00     2.10     49.540     65.880    1.0000    33.83    51.18     0.00
  ESO116-G012         9.090   111.00     2.33     49.638     63.998    1.0000    35.49    49.08     0.00
  ESO116-G012         9.860   112.00     4.74     47.033     61.822    1.0000    33.74    46.34     0.00
  ESO444-G084         0.260    18.30     1.80      7.456     10.234    0.5720     4.59     8.31     0.00
  ESO444-G084         0.770    35.30     3.00     15.581     20.439    0.6156    11.55    14.79     0.00
  ESO444-G084         1.290    47.80     4.63     19.399     28.933    0.6800    16.45    14.54     0.00
  ESO444-G084         1.810    52.80     1.26     21.341     33.546    0.7646    19.03    13.66     0.00
  ESO444-G084         2.320    58.00     3.11     21.886     38.684    0.8710    20.09    12.28     0.00
  ESO444-G084         3.390    63.10     1.35     18.765     42.490    1.0000    17.39     9.97     0.00
  ESO444-G084         4.440    62.70     7.36     15.658     38.652    1.0000    14.45     8.53     0.00
  ESO563-G021         0.450    18.90     9.78     46.096     11.695    0.6682     0.00    65.19     0.00
  ESO563-G021         1.340    58.30    10.50     84.973     36.445    0.6822     0.00   120.17     0.00
  ESO563-G021         2.230    74.10     5.69     97.213     47.162    0.7078     0.00   137.48     0.00
  ESO563-G021         3.120   119.00     4.27    103.365     77.600    0.7441     0.00   146.18     0.00
  ESO563-G021         4.010   141.00     3.76    111.624     94.627    0.7901     0.00   157.86     0.00
