i,name,fold,alpha,logSB,resid_new,resid_base,rms_new,rms_base
96,UGC00128,1,550.0,0.8818463977185592,25.431132704941206,26.06305145260247,28.778114686866882,29.32322169616013
97,UGC00191,1,550.0,1.651992364078557,13.80915541297834,13.899355941826188,14.551951654624496,14.650829247169977
98,UGC00634,1,550.0,0.6280481732796692,32.897669205282554,33.14636156007524,33.94701740328895,34.16602828990602
104,UGC02259,1,550.0,1.2324515404375367,20.002435131646283,20.141587876351593,21.60040060667458,21.708709344228495
108,UGC02916,1,550.0,1.9048442976089066,10.238386281158704,17.01678085517972,25.66861429320647,29.512956177496832
115,UGC04325,1,550.0,1.5021368104679955,18.428950100312154,18.573047916169713,21.662690361682817,21.75528701312463
118,UGC05005,1,550.0,1.1103539826640023,9.73508634652931,9.838191291107966,11.585141782639733,11.707364861055492
135,UGC06787,1,550.0,2.2376988156242232,5.0459659307426925,14.255523329515995,31.05272054491973,36.57729674658593
143,UGC07125,1,550.0,1.037692040279623,-2.327891440401751,-2.283222035796805,8.590096227048356,8.565777452053142
144,UGC07151,1,550.0,1.6243758655611547,1.6210068876725405,1.6726666007463369,5.891552522004493,5.885026692963659
148,UGC07399,1,550.0,1.3507905474264568,22.443040414351103,22.604977388850287,23.080874241150035,23.231465305020457
152,UGC07603,1,550.0,1.332218043154706,7.470939440861383,7.501604641056676,8.063769902135862,8.093204945768457
159,UGC08699,1,550.0,2.3651732904803144,8.860934493880396,13.308065713080927,17.469145026945586,20.96494464818876
161,UGC09037,1,550.0,1.755604636300587,-26.52309043610159,-25.90910603266963,29.320297202808014,28.798057710377545
164,UGC10310,1,550.0,1.247645990926648,11.005818538948608,11.070308644339766,13.856601066791681,13.891064337837784
168,UGC11914,1,550.0,2.9343372118256434,-15.035602536982989,-6.5222946916669,22.546093579623186,15.674834341635089
0,CamB,2,600.0,1.0748976703249968,-4.324714929929583,-4.3244491981671676,4.584422663537264,4.584187267824493
10,ESO116-G012,2,600.0,1.7728558621381258,6.0718823166393845,6.247048322049488,8.750740271410614,8.87963740174852
23,F571-V1,2,600.0,0.8466463285771175,14.486559543228395,14.585429080695748,15.392779463889706,15.473196498866919
25,F574-2,2,600.0,0.9311526385232933,-2.124491766674811,-2.117384524919909,6.273471423084869,6.267325987495899
28,F583-4,2,600.0,1.344874356946789,6.536743270141819,6.57755142670845,8.812120802049373,8.844059883447715
33,NGC0055,2,600.0,1.1162589730897563,-3.0275468373498553,-2.948225427596619,7.552077364832314,7.510111170786653
39,NGC0891,2,600.0,2.6149220179795107,-53.16757322735515,-46.82402794828151,56.238900230695165,50.58742775427477
40,NGC1003,2,600.0,1.3439990690571613,10.35952569797096,10.657388675068225,15.248188738021799,15.517119501133717
44,NGC2403,2,600.0,2.2399705055116415,2.1875378170581907,2.7255888475305476,13.871871085442237,14.212862930478007
47,NGC2903,2,600.0,2.8554011178406817,-26.987744777598387,-22.828718262407378,36.18061307237664,34.39107771405978
61,NGC3949,2,600.0,2.3967073463412145,-28.53829868945812,-27.796791490663736,30.317521022646115,29.52894647714004
64,NGC3992,2,600.0,1.7154810411281862,11.70067851620581,16.503669055059515,25.589486289623185,27.17390899841428
73,NGC4157,2,600.0,2.1939086130548504,-26.430358615821635,-23.653637914375757,28.66099639975337,26.22790735712687
79,NGC5005,2,600.0,2.984394779550672,-57.36429694898218,-50.04398769093592,61.32882823919406,53.857057472648044
81,NGC5055,2,600.0,2.6919624162431677,-24.600133646687507,-19.169166087352774,32.366656465280634,29.951550785061475
84,NGC5907,2,600.0,1.7543440878960168,-1.2613605099985312,3.383987115334557,20.20496707553216,19.809001721969572
86,NGC6015,2,600.0,2.1413556922038897,7.5032963702733815,9.093169580243178,15.110352909543321,16.199682154237525
94,NGC7814,2,600.0,1.902082917605706,6.419128500666393,16.602230915591313,18.831230875738594,25.35717578910177
95,PGC51017,2,600.0,1.1064628837961212,-1.2974026646119878,-1.2913402468586042,5.289569567001264,5.2862957661960825
100,UGC00891,2,600.0,0.615950051656401,13.414779672315024,13.454147445946862,13.462853669961905,13.500575694017131
119,UGC05253,2,600.0,2.4849505955063833,-0.6359175531143192,11.791749789844168,13.374656291688606,19.87835828440188
120,UGC05414,2,600.0,1.378851946448881,5.529361647302336,5.556515746896364,6.264312139410106,6.281277920596083
122,UGC05721,2,600.0,1.9247565044013764,15.099701761123146,15.2542333583536,17.60198496022811,17.75064702930442
123,UGC05750,2,600.0,1.0869290240483647,14.721502094451301,14.833602232256828,17.564200003470365,17.699373720551684
124,UGC05764,2,600.0,0.5913985512812487,12.559083367968027,12.589950595927522,14.524254737018,14.546333158635052
125,UGC05829,2,600.0,0.7578789231916476,4.299760438213935,4.315531743610865,7.169424781012497,7.171008646108698
132,UGC06628,2,600.0,1.3605393194651725,-5.216949884467173,-5.194468322298864,10.665076173119285,10.646670879392827
133,UGC06667,2,600.0,0.7525605875980134,21.692099301138708,21.767768254757748,22.841501071761204,22.90436913568884
136,UGC06818,2,600.0,1.284881714655453,2.3739302727261022,2.4030489534692068,4.989659091437438,5.012303129717588
142,UGC07089,2,600.0,1.3066215772773944,-3.927299468170368,-3.8919012491277085,6.524337423366146,6.49315889579159
147,UGC07323,2,600.0,1.707169759394251,-2.3437059728250134,-2.3036719771248446,6.0985012091527935,6.063768909597959
163,UGC09992,2,600.0,1.0416295084751377,4.036625085658547,4.049185659892969,6.319698068083798,6.32400567865175
166,UGC11557,2,600.0,1.9937924850556559,-16.958702070291437,-16.904267688414407,17.431565958148536,17.374156179946976
170,UGC12632,2,600.0,0.9052560487484513,8.642751581909236,8.695882645259346,11.649703274765354,11.678815029340477
171,UGC12732,2,600.0,0.8656566126675849,10.668586261452825,10.763894324222916,12.7990081252043,12.862702947867342
3,D631-7,3,500.0,0.6792331602743954,2.3021587129955234,2.3123203389222153,6.164120751052731,6.172375985180564
5,DDO154,3,500.0,0.5187019054648524,6.370211701679952,6.379666312036321,7.190697577180758,7.199083377114393
7,DDO168,3,500.0,0.8320829249507451,1.5747781104259693,1.5859502953250104,4.050194602924943,4.054441683306973
8,DDO170,3,500.0,0.37579420920526235,7.7044486781255115,7.730708953946382,9.16133084661761,9.17730804982083
13,F561-1,3,500.0,1.2219790184215833,-1.4073465282015207,-1.3879162367361473,8.038582752034383,8.02686542977803
17,F565-V2,3,500.0,0.5743620327718135,17.964993206022392,18.002815054338313,18.345890455677498,18.381540629972186
34,NGC0100,3,500.0,1.4852142508056947,1.3316265861128826,1.3724512832275533,5.886613099247097,5.90488582565839
35,NGC0247,3,500.0,1.2419676982199161,5.450609086919623,5.535177863101486,10.5939304107847,10.619011202595317
43,NGC2366,3,500.0,0.9409943443043473,0.05415135200030107,0.06591808265909407,5.951477930664493,5.950513527577363
46,NGC2841,3,500.0,2.228605650355092,32.65922530369373,40.504077435621085,36.14492712247803,43.30214465335741
49,NGC2955,3,500.0,2.5521615479079465,-6.153824385224596,2.2282707640486334,21.6333866578024,20.109192940903938
53,NGC3198,3,500.0,2.150608462559858,3.3705342707702344,4.064999709043675,16.217445387039394,16.65911135334372
59,NGC3893,3,500.0,2.252664283491539,-8.40754269201288,-6.46358627498872,15.448647996975211,14.59541459453002
62,NGC3953,3,500.0,2.2810958920569258,-24.50054190939983,-22.89745343346095,37.91630529471222,36.506087381525475
70,NGC4088,3,500.0,2.3200858320409865,-45.95483926066128,-44.82584950223184,48.05660305339611,46.897922555511826
72,NGC4138,3,500.0,1.947204913589633,5.144326825906741,6.723038936514622,11.827665282243068,12.682683401192234
77,NGC4389,3,500.0,2.4651001705951443,-39.58909822864083,-39.51852056783349,40.23787706453607,40.16101108888749
